term,event,category,raw_date,date,end_date
Fall 2027,Advance Registration (at or after assigned start time),Registration,March 22 - August 18,2027-03-22,2027-08-18
Summer A 2027,Advanced Registration (at or after assigned start time),Registration,March 22 - May 6,2027-03-22,2027-05-06
Summer B 2027,Advance Registration (at or after assigned start time),Registration,March 22 - June 24,2027-03-22,2027-06-24
Summer C 2027,Advanced Registration (at or after assigned start time),Registration,March 22 - May 6,2027-03-22,2027-05-06
Spring 2027,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,April 9,2027-04-09,2027-04-09
Spring 2027,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,April 10 - 21,2027-04-10,2027-04-21
Spring 2027,Withdraw from All Spring Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,April 10 - 21,2027-04-10,2027-04-21
Summer A 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 7,2027-05-07,2027-05-07
Summer C 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 7,2027-05-07,2027-05-07
Summer A 2027,Drop/Add (at or after assigned start time),Registration,May 10 - 11,2027-05-10,2027-05-11
Summer A 2027,Late Registration,Registration,May 10 - 11,2027-05-10,2027-05-11
Summer A 2027,Non-Degree Registration (at or after assigned start time),Registration,May 10 - 11,2027-05-10,2027-05-11
Summer A 2027,UF (EEP) and State Employee Registration,Registration,May 10 - 11,2027-05-10,2027-05-11
Summer C 2027,Drop/Add (at or after assigned start time),Registration,May 10 - 11,2027-05-10,2027-05-11
Summer C 2027,Late Registration,Registration,May 10 - 11,2027-05-10,2027-05-11
Summer C 2027,Non-Degree Registration (at or after assigned start time),Registration,May 10 - 11,2027-05-10,2027-05-11
Summer C 2027,UF (EEP) and State Employee Registration,Registration,May 10 - 11,2027-05-10,2027-05-11
Summer A 2027,S/U Grade Option,Registration,May 19,2027-05-19,2027-05-19
Summer C 2027,S/U Grade Option,Registration,May 28,2027-05-28,2027-05-28
Summer A 2027,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,June 11,2027-06-11,2027-06-11
Summer A 2027,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,June 12 - 17,2027-06-12,2027-06-17
Summer A 2027,Withdraw from All Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,June 12 - 17,2027-06-12,2027-06-17
Summer B 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,June 25,2027-06-25,2027-06-25
Summer B 2027,Drop/Add (at or after assigned start time),Registration,"June 28, 29",2027-06-28,2027-06-29
Summer B 2027,Late Registration,Registration,"June 28, 29",2027-06-28,2027-06-29
Summer B 2027,Non-Degree Registration (at or after assigned start time),Registration,"June 28, 29",2027-06-28,2027-06-29
Summer B 2027,UF (EEP) and State Employee Registration,Registration,"June 28, 29",2027-06-28,2027-06-29
Summer B 2027,S/U Grade Option,Registration,July 7,2027-07-07,2027-07-07
Summer B 2027,Drop Deadline,Registration,July 30,2027-07-30,2027-07-30
Summer C 2027,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,July 30,2027-07-30,2027-07-30
Summer C 2027,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,July 31 - August 6,2027-07-31,2027-08-06
Summer C 2027,Withdraw from All Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,July 31 - August 6,2027-07-31,2027-08-06
Summer B 2027,Drop or Add a Course after the Drop/Withdrawal Deadline,Registration,August 6,2027-08-06,2027-08-06
Summer B 2027,Withdraw from all Courses after the Drop/Withdrawal Deadline,Registration,August 6,2027-08-06,2027-08-06
Fall 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,August 18,2027-08-18,2027-08-18
Fall 2027,Drop/Add (at or after assigned start time),Registration,"August 19, 20, 23 - 25",2027-08-19,2027-08-25
Fall 2027,Late Registration,Registration,"August 19, 20, 23 - 25",2027-08-19,2027-08-25
Fall 2027,UF (EEP) and State Employee Registration,Registration,"August 19, 20, 23 - 25",2027-08-19,2027-08-25
Fall 2027,Non-Degree Registration (at or after assigned start time),Registration,August 23 - 25,2027-08-23,2027-08-25
Fall 2027,S/U Grade Option,Registration,September 3,2027-09-03,2027-09-03
Spring 2028,Advance Registration (at or after assigned start time),Registration,October 18 - January 6,2027-10-18,2028-01-06
Fall 2027,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,November 15,2027-11-15,2027-11-15
Fall 2027,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,November 16 - December 1,2027-11-16,2027-12-01
Fall 2027,Withdraw from All Fall Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,November 16 - December 1,2027-11-16,2027-12-01
Spring 2028,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,January 7,2028-01-07,2028-01-07
Spring 2028,Drop/Add (at or after assigned start time),Registration,January 10 - 14,2028-01-10,2028-01-14
Spring 2028,Late Registration,Registration,January 10 - 14,2028-01-10,2028-01-14
Spring 2028,UF (EEP) and State Employee Registration,Registration,January 10 - 14,2028-01-10,2028-01-14
Spring 2028,Non-Degree Registration (at or after assigned start time),Registration,January 12 - 14,2028-01-12,2028-01-14
Spring 2028,S/U Grade Option,Registration,January 28,2028-01-28,2028-01-28
Summer A 2028,Advanced Registration (at or after assigned start time),Registration,March 27 - May 4,2028-03-27,2028-05-04
Summer C 2028,Advanced Registration (at or after assigned start time),Registration,March 27 - May 4,2028-03-27,2028-05-04
Spring 2028,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,April 7,2028-04-07,2028-04-07
Spring 2028,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,April 19,2028-04-19,2028-04-19
Spring 2028,Withdraw from All Spring Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,April 19,2028-04-19,2028-04-19
Summer A 2028,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 5,2028-05-05,2028-05-05
Summer C 2028,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 5,2028-05-05,2028-05-05
Summer A 2028,Drop/Add (at or after assigned start time),Registration,May 8 - 9,2028-05-08,2028-05-09
Summer A 2028,Late Registration,Registration,May 8 - 9,2028-05-08,2028-05-09
Summer A 2028,Non-Degree Registration (at or after assigned start time),Registration,May 8 - 9,2028-05-08,2028-05-09
Summer A 2028,UF (EEP) and State Employee Registration,Registration,May 8 - 9,2028-05-08,2028-05-09
Summer C 2028,Drop/Add (at or after assigned start time),Registration,May 8 - 9,2028-05-08,2028-05-09
Summer C 2028,Late Registration,Registration,May 8 - 9,2028-05-08,2028-05-09
Summer C 2028,Non-Degree Registration (at or after assigned start time),Registration,May 8 - 9,2028-05-08,2028-05-09
Summer C 2028,UF (EEP) and State Employee Registration,Registration,May 8 - 9,2028-05-08,2028-05-09
Summer A 2028,S/U Grade Option,Registration,May 17,2028-05-17,2028-05-17
Summer C 2028,S/U Grade Option,Registration,May 19,2028-05-19,2028-05-19
Summer A 2028,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,June 9,2028-06-09,2028-06-09
Summer A 2028,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,June 16,2028-06-16,2028-06-16
Summer A 2028,Withdraw from All Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,June 16,2028-06-16,2028-06-16
Summer C 2028,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,July 28,2028-07-28,2028-07-28
Summer C 2028,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,August 4,2028-08-04,2028-08-04
Summer C 2028,Withdraw from All Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,August 4,2028-08-04,2028-08-04
