term,event,category,raw_date,date,end_date
Summer B 2026,Fee Payments (University Bursar),Financial,July 10,2026-07-10,2026-07-10
Summer B 2026,Residency Reclassifications,Academic,July 10,2026-07-10,2026-07-10
Summer B 2026,Faculty Course Evaluation Period  (Dates can vary by course. Log on to GatorEvals 2 to verify.),Academic,July 24 - August 7,2026-07-24,2026-08-07
Summer C 2026,Faculty Course Evaluation Period (Dates can vary by course. Log on to GatorEvals to verify.),Academic,July 24 - August 7,2026-07-24,2026-08-07
Summer B 2026,Honors Theses due to College Advising Offices 1,Academic,July 29,2026-07-29,2026-07-29
Summer C 2026,Honors Theses due to College Advising Offices,Academic,July 29,2026-07-29,2026-07-29
Summer B 2026,Drop Deadline,Registration,July 31,2026-07-31,2026-07-31
Summer B 2026,Withdrawal Deadline,Academic,July 31,2026-07-31,2026-07-31
Summer C 2026,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,July 31,2026-07-31,2026-07-31
Summer C 2026,Withdrawal Deadline (W assigned to all courses.),Academic,July 31,2026-07-31,2026-07-31
Summer B 2026,Drop or Add a Course after the Drop/Withdrawal Deadline,Registration,August 1 - 7,2026-08-01,2026-08-07
Summer B 2026,Withdraw from all Courses after the Drop/Withdrawal Deadline,Registration,August 1 - 7,2026-08-01,2026-08-07
Summer C 2026,Drop or Add a Course after the Drop Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,August 3 - 7,2026-08-03,2026-08-07
Summer C 2026,Withdraw from All Courses after the Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Academic,August 3 - 7,2026-08-03,2026-08-07
Summer B 2026,Classes End,Academic,August 7,2026-08-07,2026-08-07
Summer B 2026,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"August 7, 8",2026-08-07,2026-08-08
Summer C 2026,Classes End,Academic,August 7,2026-08-07,2026-08-07
Summer C 2026,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,August 7 - 8,2026-08-07,2026-08-08
Summer B 2026,Degree Status Available (on ONE.UF) 4,Academic,August 12,2026-08-12,2026-08-12
Summer B 2026,"Final Grades Available (transcript view, ONE.UF) 4",Academic,August 12,2026-08-12,2026-08-12
Summer C 2026,Degree Status Available (on ONE.UF),Academic,August 12,2026-08-12,2026-08-12
Summer C 2026,"Final Grades Available (transcript view, on ONE.UF)",Academic,August 12,2026-08-12,2026-08-12
Summer B 2026,Faculty Course Evaluations Available to Instructors (on GatorEvals 2),Academic,August 13,2026-08-13,2026-08-13
Summer C 2026,Faculty Course Evaluations Available to Instructors (on GatorEvals),Academic,August 13,2026-08-13,2026-08-13
Fall 2026,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,August 19,2026-08-19,2026-08-19
Fall 2026,Classes Begin,Academic,August 20,2026-08-20,2026-08-20
Fall 2026,Drop/Add (at or after assigned start time),Registration,"August 20, 21, 24 - 26",2026-08-20,2026-08-26
Fall 2026,Late Registration,Registration,"August 20, 21, 24 - 26",2026-08-20,2026-08-26
Fall 2026,UF (EEP) and State Employee Registration,Registration,"August 20, 21, 24 - 26",2026-08-20,2026-08-26
Fall 2026,Non-Degree Registration (at or after assigned start time),Registration,August 24 - 26,2026-08-24,2026-08-26
Fall 2026,Withdrawal from All Courses with No Fee Liability,Financial,August 26,2026-08-26,2026-08-26
Fall 2026,Fee Payments (University Bursar),Financial,September 4,2026-09-04,2026-09-04
Fall 2026,Residency Reclassifications,Academic,September 4,2026-09-04,2026-09-04
Fall 2026,S/U Grade Option,Registration,September 4,2026-09-04,2026-09-04
Fall 2026,Degree Applications,Academic,September 11,2026-09-11,2026-09-11
Fall 2026,Withdrawal with 25% Refund (W assigned to all Fall courses.),Financial,September 11,2026-09-11,2026-09-11
Spring 2027,Advance Registration (at or after assigned start time),Registration,October 26 - January 7,2026-10-26,2027-01-07
Fall 2026,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,November 16,2026-11-16,2026-11-16
Fall 2026,Faculty Course Evaluation Period (Dates can vary by course. Log on to GatorEvals to verify.),Academic,November 16 - December 4,2026-11-16,2026-12-04
Fall 2026,Withdrawal Deadline (W assigned to all Fall courses.),Academic,November 16,2026-11-16,2026-11-16
Fall 2026,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,November 17 - December 2,2026-11-17,2026-12-02
Fall 2026,Withdraw from All Fall Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,November 17 - December 2,2026-11-17,2026-12-02
Fall 2026,Classes End,Academic,December 2,2026-12-02,2026-12-02
Fall 2026,Honors Theses due to College Advising Offices,Academic,December 2,2026-12-02,2026-12-02
Fall 2026,Reading Days (no classes),Academic,December 3 - 4,2026-12-03,2026-12-04
Fall 2026,Final Exams,Academic,December 5 - 11,2026-12-05,2026-12-11
Fall 2026,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,December 11 - 12,2026-12-11,2026-12-12
Fall 2026,Degree Status Available (on ONE.UF),Academic,December 16,2026-12-16,2026-12-16
Fall 2026,"Final Grades Available (transcript view, on ONE.UF)",Academic,December 16,2026-12-16,2026-12-16
Fall 2026,Faculty Course Evaluations Available to Instructors (on GatorEvals),Academic,December 17,2026-12-17,2026-12-17
Spring 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,January 8,2027-01-08,2027-01-08
Spring 2027,Classes Begin,Academic,January 11,2027-01-11,2027-01-11
Spring 2027,Drop/Add (at or after assigned start time),Registration,January 11 - 15,2027-01-11,2027-01-15
Spring 2027,Late Registration,Registration,January 11 - 15,2027-01-11,2027-01-15
Spring 2027,UF (EEP) and State Employee Registration,Registration,January 11 - 15,2027-01-11,2027-01-15
Spring 2027,Non-Degree Registration (at or after assigned start time),Registration,January 13 - 15,2027-01-13,2027-01-15
Spring 2027,Withdrawal from All Courses with No Fee Liability,Financial,January 15,2027-01-15,2027-01-15
Spring 2027,Fee Payments (University Bursar),Financial,January 22,2027-01-22,2027-01-22
Spring 2027,Residency Reclassifications,Academic,January 22,2027-01-22,2027-01-22
Spring 2027,S/U Grade Option,Registration,January 29,2027-01-29,2027-01-29
Spring 2027,Degree Applications,Academic,February 5,2027-02-05,2027-02-05
Spring 2027,Withdrawal with 25% Refund (W assigned to all Spring courses.),Financial,February 5,2027-02-05,2027-02-05
Fall 2027,Advance Registration (at or after assigned start time),Registration,March 22 - August 18,2027-03-22,2027-08-18
Summer A 2027,Advanced Registration (at or after assigned start time),Registration,March 22 - May 6,2027-03-22,2027-05-06
Summer B 2027,Advance Registration (at or after assigned start time),Registration,March 22 - June 24,2027-03-22,2027-06-24
Summer C 2027,Advanced Registration (at or after assigned start time),Registration,March 22 - May 6,2027-03-22,2027-05-06
Spring 2027,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,April 9,2027-04-09,2027-04-09
Spring 2027,Faculty Course Evaluation Period (Dates can vary by course. Log on to GatorEvals to verify.),Academic,April 9 - 23,2027-04-09,2027-04-23
Spring 2027,Withdrawal Deadline (W assigned to all Spring courses.),Academic,April 9,2027-04-09,2027-04-09
Spring 2027,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,April 10 - 21,2027-04-10,2027-04-21
Spring 2027,Withdraw from All Spring Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,April 10 - 21,2027-04-10,2027-04-21
Spring 2027,Classes End,Academic,April 21,2027-04-21,2027-04-21
Spring 2027,Honors Theses due to College Advising Offices,Academic,April 21,2027-04-21,2027-04-21
Spring 2027,Reading Days (no classes),Academic,April 22 - 23,2027-04-22,2027-04-23
Spring 2027,Final Exams,Academic,April 24 - 30,2027-04-24,2027-04-30
Spring 2027,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"April 30, May 1, 2",2027-04-30,2027-05-02
Spring 2027,Degree Status Available (on ONE.UF),Academic,May 5,2027-05-05,2027-05-05
Spring 2027,"Final Grades Available (transcript view, on ONE.UF)",Academic,May 5,2027-05-05,2027-05-05
Spring 2027,Faculty Course Evaluations Available to Instructors (on GatorEvals),Academic,May 6,2027-05-06,2027-05-06
Summer A 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 7,2027-05-07,2027-05-07
Summer C 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 7,2027-05-07,2027-05-07
Summer A 2027,Classes Begin,Academic,May 10,2027-05-10,2027-05-10
Summer A 2027,Drop/Add (at or after assigned start time),Registration,May 10 - 11,2027-05-10,2027-05-11
Summer A 2027,Late Registration,Registration,May 10 - 11,2027-05-10,2027-05-11
Summer A 2027,Non-Degree Registration (at or after assigned start time),Registration,May 10 - 11,2027-05-10,2027-05-11
Summer A 2027,UF (EEP) and State Employee Registration,Registration,May 10 - 11,2027-05-10,2027-05-11
Summer C 2027,Classes Begin,Academic,May 10,2027-05-10,2027-05-10
Summer C 2027,Drop/Add (at or after assigned start time),Registration,May 10 - 11,2027-05-10,2027-05-11
Summer C 2027,Late Registration,Registration,May 10 - 11,2027-05-10,2027-05-11
Summer C 2027,Non-Degree Registration (at or after assigned start time),Registration,May 10 - 11,2027-05-10,2027-05-11
Summer C 2027,UF (EEP) and State Employee Registration,Registration,May 10 - 11,2027-05-10,2027-05-11
Summer A 2027,Withdrawal from All Courses with No Fee Liability,Financial,May 11,2027-05-11,2027-05-11
Summer C 2027,Withdrawal from All Courses with No Fee Liability,Financial,May 11,2027-05-11,2027-05-11
Summer A 2027,Degree Applications,Academic,May 12,2027-05-12,2027-05-12
Summer A 2027,S/U Grade Option,Registration,May 19,2027-05-19,2027-05-19
Summer A 2027,Withdrawal with 25% Refund (W assigned to all courses.),Financial,May 19,2027-05-19,2027-05-19
Summer A 2027,Fee Payments (University Bursar),Financial,May 21,2027-05-21,2027-05-21
Summer A 2027,Residency Reclassifications,Academic,May 21,2027-05-21,2027-05-21
Summer C 2027,Fee Payments (University Bursar),Financial,May 21,2027-05-21,2027-05-21
Summer C 2027,Residency Reclassifications,Academic,May 21,2027-05-21,2027-05-21
Summer C 2027,S/U Grade Option,Registration,May 28,2027-05-28,2027-05-28
Summer C 2027,Withdrawal with 25% Refund (W assigned to all courses.),Financial,May 28,2027-05-28,2027-05-28
Summer A 2027,Faculty Course Evaluation Period (Dates can vary by course. Log on to GatorEvals to verify.),Academic,June 4 - June 17,2027-06-04,2027-06-17
Summer A 2027,Honors Theses due to College Advising Offices,Academic,June 9,2027-06-09,2027-06-09
Summer A 2027,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,June 11,2027-06-11,2027-06-11
Summer A 2027,Withdrawal Deadline (W assigned to all courses.),Academic,June 11,2027-06-11,2027-06-11
Summer A 2027,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,June 12 - 17,2027-06-12,2027-06-17
Summer A 2027,Withdraw from All Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,June 12 - 17,2027-06-12,2027-06-17
Summer A 2027,Classes End,Academic,June 17,2027-06-17,2027-06-17
Summer A 2027,Degree Status Available (on ONE.UF),Academic,June 23,2027-06-23,2027-06-23
Summer A 2027,"Final Grades Available (transcript view, on ONE.UF)",Academic,June 23,2027-06-23,2027-06-23
Summer A 2027,Faculty Course Evaluations Available to Instructors (on GatorEvals),Academic,June 24,2027-06-24,2027-06-24
Summer B 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,June 25,2027-06-25,2027-06-25
Summer B 2027,Classes Begin,Academic,June 28,2027-06-28,2027-06-28
Summer B 2027,Drop/Add (at or after assigned start time),Registration,"June 28, 29",2027-06-28,2027-06-29
Summer B 2027,Late Registration,Registration,"June 28, 29",2027-06-28,2027-06-29
Summer B 2027,Non-Degree Registration (at or after assigned start time),Registration,"June 28, 29",2027-06-28,2027-06-29
Summer B 2027,UF (EEP) and State Employee Registration,Registration,"June 28, 29",2027-06-28,2027-06-29
Summer C 2027,Honors Theses due to College Advising Offices,Academic,June 28,2027-06-28,2027-06-28
Summer B 2027,Withdrawal from All Courses with No Fee Liability,Financial,June 29,2027-06-29,2027-06-29
Summer B 2027,Degree Applications,Academic,June 30,2027-06-30,2027-06-30
Summer C 2027,Degree Applications,Academic,June 30,2027-06-30,2027-06-30
Summer B 2027,S/U Grade Option,Registration,July 7,2027-07-07,2027-07-07
Summer B 2027,Withdrawal with 25% Refund (W assigned to all Summer B courses.),Financial,July 7,2027-07-07,2027-07-07
Summer B 2027,Fee Payments (University Bursar),Financial,July 9,2027-07-09,2027-07-09
Summer B 2027,Residency Reclassifications,Academic,July 9,2027-07-09,2027-07-09
Summer B 2027,Faculty Course Evaluation Period  (Dates can vary by course. Log on to GatorEvals 2 to verify.),Academic,July 23 - August 6,2027-07-23,2027-08-06
Summer C 2027,Faculty Course Evaluation Period (Dates can vary by course. Log on to GatorEvals to verify.),Academic,July 23 - August 6,2027-07-23,2027-08-06
Summer B 2027,Honors Theses due to College Advising Offices 1,Academic,July 28,2027-07-28,2027-07-28
Summer B 2027,Drop Deadline,Registration,July 30,2027-07-30,2027-07-30
Summer B 2027,Withdrawal Deadline,Academic,July 30,2027-07-30,2027-07-30
Summer C 2027,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,July 30,2027-07-30,2027-07-30
Summer C 2027,Withdrawal Deadline (W assigned to all courses.),Academic,July 30,2027-07-30,2027-07-30
Summer C 2027,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,July 31 - August 6,2027-07-31,2027-08-06
Summer C 2027,Withdraw from All Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,July 31 - August 6,2027-07-31,2027-08-06
Summer B 2027,Classes End,Academic,August 6,2027-08-06,2027-08-06
Summer B 2027,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"August 6, 7",2027-08-06,2027-08-07
Summer B 2027,Drop or Add a Course after the Drop/Withdrawal Deadline,Registration,August 6,2027-08-06,2027-08-06
Summer B 2027,Withdraw from all Courses after the Drop/Withdrawal Deadline,Registration,August 6,2027-08-06,2027-08-06
Summer C 2027,Classes End,Academic,August 6,2027-08-06,2027-08-06
Summer C 2027,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,August 6 - 7,2027-08-06,2027-08-07
Summer B 2027,Degree Status Available (on ONE.UF) 4,Academic,August 11,2027-08-11,2027-08-11
Summer B 2027,"Final Grades Available (transcript view, ONE.UF) 4",Academic,August 11,2027-08-11,2027-08-11
Summer C 2027,Degree Status Available (on ONE.UF),Academic,August 11,2027-08-11,2027-08-11
Summer C 2027,"Final Grades Available (transcript view, on ONE.UF)",Academic,August 11,2027-08-11,2027-08-11
Summer B 2027,Faculty Course Evaluations Available to Instructors (on GatorEvals 2),Academic,August 12,2027-08-12,2027-08-12
Summer C 2027,Faculty Course Evaluations Available to Instructors (on GatorEvals),Academic,August 12,2027-08-12,2027-08-12
Fall 2027,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,August 18,2027-08-18,2027-08-18
Fall 2027,Classes Begin,Academic,August 19,2027-08-19,2027-08-19
Fall 2027,Drop/Add (at or after assigned start time),Registration,"August 19, 20, 23 - 25",2027-08-19,2027-08-25
Fall 2027,Late Registration,Registration,"August 19, 20, 23 - 25",2027-08-19,2027-08-25
Fall 2027,UF (EEP) and State Employee Registration,Registration,"August 19, 20, 23 - 25",2027-08-19,2027-08-25
Fall 2027,Non-Degree Registration (at or after assigned start time),Registration,August 23 - 25,2027-08-23,2027-08-25
Fall 2027,Withdrawal from All Courses with No Fee Liability,Financial,August 25,2027-08-25,2027-08-25
Fall 2027,Fee Payments (University Bursar),Financial,September 3,2027-09-03,2027-09-03
Fall 2027,Residency Reclassifications,Academic,September 3,2027-09-03,2027-09-03
Fall 2027,S/U Grade Option,Registration,September 3,2027-09-03,2027-09-03
Fall 2027,Degree Applications,Academic,September 10,2027-09-10,2027-09-10
Fall 2027,Withdrawal with 25% Refund (W assigned to all Fall courses.),Financial,September 10,2027-09-10,2027-09-10
Spring 2028,Advance Registration (at or after assigned start time),Registration,October 18 - January 6,2027-10-18,2028-01-06
Fall 2027,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,November 15,2027-11-15,2027-11-15
Fall 2027,Faculty Course Evaluation Period (Dates can vary by course. Log on to GatorEvals to verify.),Academic,November 15 - December 3,2027-11-15,2027-12-03
Fall 2027,Withdrawal Deadline (W assigned to all Fall courses.),Academic,November 15,2027-11-15,2027-11-15
Fall 2027,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,November 16 - December 1,2027-11-16,2027-12-01
Fall 2027,Withdraw from All Fall Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,November 16 - December 1,2027-11-16,2027-12-01
Fall 2027,Classes End,Academic,December 1,2027-12-01,2027-12-01
Fall 2027,Honors Theses due to College Advising Offices,Academic,December 1,2027-12-01,2027-12-01
Fall 2027,Reading Days (no classes),Academic,December 2 - 3,2027-12-02,2027-12-03
Fall 2027,Final Exams,Academic,December 4 - 10,2027-12-04,2027-12-10
Fall 2027,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,December 10 - 11,2027-12-10,2027-12-11
Fall 2027,Degree Status Available (on ONE.UF),Academic,December 15,2027-12-15,2027-12-15
Fall 2027,"Final Grades Available (transcript view, on ONE.UF)",Academic,December 15,2027-12-15,2027-12-15
Fall 2027,Faculty Course Evaluations Available to Instructors (on GatorEvals),Academic,December 16,2027-12-16,2027-12-16
Spring 2028,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,January 7,2028-01-07,2028-01-07
Spring 2028,Classes Begin,Academic,January 10,2028-01-10,2028-01-10
Spring 2028,Drop/Add (at or after assigned start time),Registration,January 10 - 14,2028-01-10,2028-01-14
Spring 2028,Late Registration,Registration,January 10 - 14,2028-01-10,2028-01-14
Spring 2028,UF (EEP) and State Employee Registration,Registration,January 10 - 14,2028-01-10,2028-01-14
Spring 2028,Non-Degree Registration (at or after assigned start time),Registration,January 12 - 14,2028-01-12,2028-01-14
Spring 2028,Withdrawal from All Courses with No Fee Liability,Financial,January 14,2028-01-14,2028-01-14
Spring 2028,Fee Payments (University Bursar),Financial,January 21,2028-01-21,2028-01-21
Spring 2028,Residency Reclassifications,Academic,January 21,2028-01-21,2028-01-21
Spring 2028,S/U Grade Option,Registration,January 28,2028-01-28,2028-01-28
Spring 2028,Degree Applications,Academic,February 4,2028-02-04,2028-02-04
Spring 2028,Withdrawal with 25% Refund (W assigned to all Spring courses.),Financial,February 4,2028-02-04,2028-02-04
Summer A 2028,Advanced Registration (at or after assigned start time),Registration,March 27 - May 4,2028-03-27,2028-05-04
Summer C 2028,Advanced Registration (at or after assigned start time),Registration,March 27 - May 4,2028-03-27,2028-05-04
Spring 2028,Drop Deadline (W assigned to individual course(s). Drops of individual courses must be approved by the student's college.),Registration,April 7,2028-04-07,2028-04-07
Spring 2028,Withdrawal Deadline (W assigned to all Spring courses.),Academic,April 7,2028-04-07,2028-04-07
Spring 2028,Classes End,Academic,April 19,2028-04-19,2028-04-19
Spring 2028,Drop or Add a Course after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to drop or add.),Registration,April 19,2028-04-19,2028-04-19
Spring 2028,Honors Theses due to College Advising Offices,Academic,April 19,2028-04-19,2028-04-19
Spring 2028,Withdraw from All Spring Courses after the Drop/Withdrawal Deadline (Students must petition their college with appropriate documentation for approval to withdraw from all courses.),Registration,April 19,2028-04-19,2028-04-19
Spring 2028,Reading Days (no classes),Academic,April 20 - 21,2028-04-20,2028-04-21
Spring 2028,Final Exams,Academic,April 22 - April 28,2028-04-22,2028-04-28
Spring 2028,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"April 28, 29, 30",2028-04-28,2028-04-30
Spring 2028,Faculty Course Evaluations Available to Instructors (on GatorEvals),Academic,April 29,2028-04-29,2028-04-29
Spring 2028,Degree Status Available (on ONE.UF),Academic,May 3,2028-05-03,2028-05-03
Spring 2028,"Final Grades Available (transcript view, on ONE.UF)",Academic,May 3,2028-05-03,2028-05-03
Summer A 2028,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 5,2028-05-05,2028-05-05
Summer C 2028,Regular Registration ($100 late fee after 11:59 pm deadline),Registration,May 5,2028-05-05,2028-05-05
Summer A 2028,Classes Begin,Academic,May 8,2028-05-08,2028-05-08
Summer A 2028,Drop/Add (at or after assigned start time),Registration,May 8 - 9,2028-05-08,2028-05-09
Summer A 2028,Late Registration,Registration,May 8 - 9,2028-05-08,2028-05-09
Summer A 2028,Non-Degree Registration (at or after assigned start time),Registration,May 8 - 9,2028-05-08,2028-05-09
Summer A 2028,UF (EEP) and State Employee Registration,Registration,May 8 - 9,2028-05-08,2028-05-09
Summer C 2028,Classes Begin,Academic,May 8,2028-05-08,2028-05-08
Summer C 2028,Drop/Add (at or after assigned start time),Registration,May 8 - 9,2028-05-08,2028-05-09
Summer C 2028,Late Registration,Registration,May 8 - 9,2028-05-08,2028-05-09
Summer C 2028,Non-Degree Registration (at or after assigned start time),Registration,May 8 - 9,2028-05-08,2028-05-09
Summer C 2028,UF (EEP) and State Employee Registration,Registration,May 8 - 9,2028-05-08,2028-05-09
Summer A 2028,Withdrawal from All Courses with No Fee Liability,Financial,May 9,2028-05-09,2028-05-09
Summer C 2028,Withdrawal from All Courses with No Fee Liability,Financial,May 9,2028-05-09,2028-05-09
Summer A 2028,Degree Applications,Academic,May 10,2028-05-10,2028-05-10
Summer A 2028,S/U Grade Option,Registration,May 17,2028-05-17,2028-05-17
Summer A 2028,Withdrawal with 25% Refund (W assigned to all courses.),Financial,May 17,2028-05-17,2028-05-17
Summer A 2028,Fee Payments (University Bursar),Financial,May 19,2028-05-19,2028-05-19
Summer A 2028,Residency Reclassifications,Academic,May 19,2028-05-19,2028-05-19
Summer C 2028,Fee Payments (University Bursar),Financial,May 19,2028-05-19,2028-05-19
Summer C 2028,Residency Reclassifications,Academic,May 19,2028-05-19,2028-05-19
